,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
1469,0xeb98dcdaef4019c422a5b478b13124dae97d6a6c,Forward proxy,No assignments to local1 outside the fallback function,0,1
1471,0x54b66bd81e24a34ade9ad3a11a1f7e118fd57170,Forward proxy,No assignments to local1 outside the fallback function,0,1
1474,0xb98908fc036aeb7f4fba8464da2b2dd9cab777d7,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1476,0x12ad79aef31f5a7274523a929870d46a19536136,Forward proxy,No assignments to local1 outside the fallback function,0,1
1477,0xf13f9e75913b352622f8aeea5ac32498b1c228d0,Not a proxy,No delegatecall found,0,1
1490,0x89ce39fe632b002258ef3ffacdf1f1f1b1cd68b5,Forward proxy,No assignments to local1 outside the fallback function,0,1
1493,0x8fca3f80cd8b9d125a85fadfe86c00134e2c7ddb,Not a proxy,No delegatecall found,0,1
1511,0x50c784f86aae52d02335f66af154146aa4920f01,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1526,0xd8d39bc1ce7e90dc945d0b5d1b365707573ee308,Forward proxy,No assignments to local1 outside the fallback function,0,1
1529,0x87a989ea29ed78c2d66abde787622078b89b0109,Not a proxy,No delegatecall found,0,1
1533,0xbccbbc11a72985f25ade7cb3618da4e64f1bf138,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1538,0xf36eadc8c7321e858bacffec9d4c902f979482fc,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1540,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Forward proxy,No assignments to local11 outside the fallback function,0,1
1597,0xa70abeaca1d6bba0f511758a0d66b7f59fd3f166,Forward proxy,No assignments to local4 outside the fallback function,0,1
1604,0xb119ce94d098c18fe380904c24e358bd887f00be,Forward proxy,No assignments to local1 outside the fallback function,0,1
1606,0xf0159d041db29029ccf285a1043dcaac7088030b,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1609,0xccc395f0ebfaa26dcc2d3bacc23d55614002236b,Not a proxy,No delegatecall found,0,1
1625,0xa7ea83b7147c25cdec59ff02f7dcf687caa91198,Forward proxy,No assignments to local4 outside the fallback function,0,1
1632,0xce3a417b74f4f19de7155cbfac4b703aed9ff9a2,Forward proxy,No assignments to local1 outside the fallback function,0,1
1633,0x6e88216162af2388509da76d844cf77931f86de7,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1662,0x6d7dc3f851f987f7cc8b97fa461ad9c491f0d43d,Forward proxy,No assignments to local4 outside the fallback function,0,1
1668,0xa665271c365f9d9a149866574a5b047dd9e3d31b,Forward proxy,No assignments to local4 outside the fallback function,0,1
1689,0x57ff288dd9d478b046647a5ab917195449f1f6e5,Not a proxy,No delegatecall found,0,1
1715,0x247b6b13ad67d9c795a25c1d9a6c3857166e4b1a,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1732,0xcbbb17d9767bd57fbf4bbf8842e916bcb3826ec1,Not a proxy,No delegatecall found,0,1
1738,0x83266a95429b903cc5e954bf61c7eddf8a52b971,Not a proxy,No delegatecall found,0,1
1749,0x96f9d144e55149437640512b82d7dda065e89773,Not a proxy,No delegatecall found,0,1
1758,0x09a69bb256c929aa77dc0aca9c9327fa6ccf475a,Not a proxy,No delegatecall found,0,1
1760,0x31f796ce7fe2c17aec7cd53b9aa1ab0081cad7a4,Forward proxy,No assignments to local1 outside the fallback function,0,1
1811,0x2b74eb5a4e59b87d20cd03c3df2a5150d0651b90,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1818,0xf888ce41234d57acb5f1afd0f6d3d6ff86574c1a,Forward proxy,No assignments to local1 outside the fallback function,0,1
1820,0x1337def1fc06783d4b03cb8c1bf3ebf7d0593fc4,Forward proxy,No assignments to local1 outside the fallback function,0,1
1822,0xe40fc942c86add7686a27c18df742aac9044792b,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1834,0x1b72255a11df705bb598e670830e03a19f2d242f,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1837,0x47a24a75f1be8cae389dcce0a8d03d2e1a2015d7,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1846,0x7ec81b7035e91f8435bdeb2787dcbd51116ad303,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1874,0xc3b6a0689cb6515cc93269585f96383b27bb9bdb,Forward proxy,No assignments to local1 outside the fallback function,0,1
1882,0xd74bee51abbeff07a89dd90305667c1e17212afa,Forward proxy,No assignments to local1 outside the fallback function,0,1
1887,0x5f7a299be82d8f5a626300c62c477b233f616121,Not a proxy,No delegatecall found,0,1
1890,0xfbc2f3582e3e40f86d21432ee07f311a426b4b1e,Forward proxy,No assignments to local1 outside the fallback function,0,1
1894,0x3ddf5dad59f8f8e8f957709b044ee84e87b42e25,Not a proxy,No delegatecall found,0,1
1895,0x79bef89a63be04a75f1fa42e8f42ad873b6f43e2,Not a proxy,No delegatecall found,0,1
1924,0x6d2cb724a0cec656d3beafd7626a2273d1c676d9,Forward proxy,No assignments to local1 outside the fallback function,0,1
1930,0x43e1505e315be6c8b875a37f7d8753ba84140a37,Not a proxy,No delegatecall found,0,1
1941,0xa4db07460c7473ef3aaf2c26da46b00a4d986d72,Forward proxy,No assignments to local4 outside the fallback function,0,1
1945,0xec114001d23eefe6624fb42ccbf4b3c793e295f1,Not a proxy,No delegatecall found,0,1
1947,0x906fd331f5e382f05b8ae26900140c37f0db139a,Not a proxy,No delegatecall found,0,1
1953,0x9d4193187b247a400e8d8ba716f1c18c0dc65528,Not a proxy,No delegatecall found,0,1
1954,0x50daabcf9d349a8b7b1b343546fd9fd171c1e532,Not a proxy,No delegatecall found,0,1
1964,0x163ddb3da1092031e7f2ad26d6c572ab67bb2bdc,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1974,0xb0c85c099094e73ffc1df23c8309a8b14c64420a,Forward proxy,No assignments to local4 outside the fallback function,0,1
1989,0xbb9ed9cb9bc075ab50d196fee6611fbb93300968,Forward proxy,No assignments to local1 outside the fallback function,0,1
1999,0x0a62cc5ebfa79b155b4ec90e74c00e0176692772,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2010,0x41ca88009a678cf6e15ce226f3b4dd2553c74bf5,Forward proxy,No assignments to local1 outside the fallback function,0,1
2023,0xb316c4057202cfa2c94d01f06a2a930a4b0cd83b,Upgradeable proxy,Variable decimals assigned outside the fallback function,1,0
2027,0xae60f31d87ebb62eceb5ec466985afc3c5782fef,Forward proxy,No assignments to local1 outside the fallback function,0,1
2039,0xf644f1341eb9bfa37003b2be2db39e2386b66053,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2059,0x1337def1b1ae35314b40e5a4b70e216a499b0e37,Forward proxy,No assignments to local1 outside the fallback function,0,1
2060,0x718ab58f1e75f988ce3ec5fa272952766f0e7c6b,Forward proxy,No assignments to local1 outside the fallback function,0,1
2065,0x2cb1b47fb16013798086f267e04e6579dcb72a74,Not a proxy,No delegatecall found,0,1
2086,0xdd87cbde3c1f8f728c7924c8c9c983af6dfcfea8,Not a proxy,No delegatecall found,0,1
2103,0x2d2d29e7b06c003f457323250162d63f6f6c7027,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2110,0x0e87a320dace86a0b427fa2bae282de5c7697278,Not a proxy,No delegatecall found,0,1
2111,0x21636c64200be3f20ea0c2633829cccde63278f7,Forward proxy,No assignments to dforceSplitImplementation outside the fallback function,0,1
2141,0x530608409991c36ba922b69623bec57e22b8d331,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2149,0x03c41c5aff6d541ef7d4c51c8b2e32a5d4427275,Forward proxy,No assignments to local4 outside the fallback function,0,1
2154,0x72661e76475354403838eb04144206f70ff97d79,Not a proxy,No delegatecall found,0,1
2160,0x36f061bc3314793c5637fb79421294c061ead108,Forward proxy,No assignments to local4 outside the fallback function,0,1
2161,0xf5e775bbdca4388269676ebe4166b1462352a02b,Forward proxy,No assignments to local4 outside the fallback function,0,1
2162,0x169ea2e2c8783a9da305f563c65793525e831f62,Forward proxy,No assignments to local1 outside the fallback function,0,1
2172,0x99bcc501d04f400ba3f78b5375d00b56ace6ee0d,Not a proxy,No delegatecall found,0,1
2175,0x93047ce776e3decdc837598f5a752083ccfedb32,Forward proxy,No assignments to local1 outside the fallback function,0,1
2184,0xae55f163337a2a46733aa66da9f35299f9a46e9e,Not a proxy,No delegatecall found,0,1
2191,0xea9c5a2717d5ab75afaac340151e73a7e37d99a7,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2194,0x0e63e31e17f9854cf85939261a17177328ae22ee,Forward proxy,No assignments to local1 outside the fallback function,0,1
2199,0xd82375e981fbb5b2a0dde6bca75e35d1c7b5de7d,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2202,0xc2bebef46f593a8092556d9a59766491d070490a,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2208,0xadad43be81e2206f6d1af4299ca2a029e16af7ab,Not a proxy,No delegatecall found,0,1
2218,0xe541504417670fb76b612b41b4392d967a1956c7,Forward proxy,No assignments to local1 outside the fallback function,0,1
2234,0xb99d129d3757f338dfc6438194f505db0b62b021,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2236,0x8e39e807d9eae1ced9bce296f211c38ba5ab2f9b,Not a proxy,No delegatecall found,0,1
2239,0xf6da5f5f236355fafea28d7a763a5aca053afcec,Forward proxy,No assignments to local1 outside the fallback function,0,1
2254,0x13645ef516d1051b2930463fcce1da2bca5d21c0,Forward proxy,No assignments to local1 outside the fallback function,0,1
2265,0x10a0532de3c86d9ce810f004fabcf5a1ea464390,Not a proxy,No delegatecall found,0,1
2270,0x80edac70ec108a9c5b47972da9924397ba974ff9,Not a proxy,No delegatecall found,0,1
2272,0x93cff799f255eda2089cfb3f05696b5b66873c1a,Not a proxy,No delegatecall found,0,1
2292,0x64972bf5d95d45f76e9d58c25f1f307598ba436b,Forward proxy,No assignments to local1 outside the fallback function,0,1
2298,0x7cb89c509001d25da9938999abfea6740212e5f0,Not a proxy,No delegatecall found,0,1
2302,0x6178ea078ef1bb75b320f4489117e7dfd7f15f88,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2312,0x6ad66dac965f61e55479213872a2f36908f30b58,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2342,0x9662945b44ac906a3bfa87aeee4375c2acd62254,Not a proxy,No delegatecall found,0,1
2392,0x2dea20405c52fb477ecca8fe622661d316ac5400,Unknown,Failed to decompile bytecode,0,1
2396,0xda4a90c4d06e2384148a2e67e44a504a8f555f54,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2397,0x22138ba6e6324a7cb67ca2f6ad70f6f6c76a2b64,Forward proxy,No assignments to local1 outside the fallback function,0,1
2400,0x649fdf6ee483a96e020b889571e93700fbd82d88,Forward proxy,No assignments to local4 outside the fallback function,0,1
2404,0x0000000000013949f288172bd7e36837bddc7211,Forward proxy,No assignments to local4 outside the fallback function,0,1
2413,0x33c3964b9b2afd3b26dec1a5edafa9a419d9c4c6,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2418,0x5520ec6a7e33ea5d4b6bef89ce6e637d62d301a6,Forward proxy,No assignments to local4 outside the fallback function,0,1
2446,0x302a11ef22a2485d15a3a9b460fa4d87988b1d7e,Not a proxy,No delegatecall found,0,1
2450,0x489d4d4c4bc781eaab3a36c44d66762ceb6e1e2d,Not a proxy,No delegatecall found,0,1
2451,0x5e17f6f450dcb0bc69b232ea554e224d7e88067a,Forward proxy,No assignments to local1 outside the fallback function,0,1
2457,0x1228c7d8bbc5bc53db181bd7b1fce765aa83bf8a,Not a proxy,No delegatecall found,0,1
2469,0xec9dcb3dc47ff5edc02666ce4db459841853b7b4,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2481,0xbb7d75be4dc8eb15ff90422137c0a5bcbd316953,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
2504,0x1af13167adfdb07962e00d3453955537e2116dea,Forward proxy,No assignments to local4 outside the fallback function,0,1
2505,0x4f16a20450d36bfb3e3926df357f1405d79ff81e,Forward proxy,No assignments to local1 outside the fallback function,0,1
2521,0x05dd55c18999b4a2f905978c029b85da37750170,Not a proxy,No delegatecall found,0,1
2525,0x7fdcdad3b4a67e00d9fd5f22f4fd89a5fa4f57ba,Forward proxy,No assignments to DFImplementation outside the fallback function,0,1
2542,0x555ddd7c3999010cff0ae3671d31cb376fa638f0,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2547,0xf722a21b6aa0b9e179b5ff33b6070b153491a9e5,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2558,0x01bfd82675dbcc7762c84019ca518e701c0cd07e,Forward proxy,No assignments to local4 outside the fallback function,0,1
2560,0x17a1d9f441a6e6c4ff901de8e5864f8a5746a950,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2568,0xb706d79427e6aea5c2d1cab0fff215b26d37339b,Unknown,Failed to decompile bytecode,0,1
2607,0xbb38d10033b26f3836a8c1e41788206868b9f228,Forward proxy,No assignments to local1 outside the fallback function,0,1
2613,0xb2c86bcda2b845e7c61eb5443bc9bb57d48e4bb6,Forward proxy,No assignments to local5 outside the fallback function,0,1
2632,0x295ca8f32887eda83bc0d90c31a2594d93330ca2,Forward proxy,No assignments to local1 outside the fallback function,0,1
2635,0x1c5a768bdb10750f9007e33243fef5f3e094ad3a,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2638,0x9fe7fd9e6b851cb91de687bd29f81566ca856a29,Forward proxy,No assignments to local1 outside the fallback function,0,1
2641,0xeada4c7dd78a734edd680f2ab84251c9a25b6743,Forward proxy,No assignments to local1 outside the fallback function,0,1
2644,0x46999db20fb9c94ce3c9762a3c2541157a2a607b,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2647,0x928d61da73b6d507b23b99f2219073a8d97683b1,Forward proxy,No assignments to local1 outside the fallback function,0,1
2655,0xbd88d2ddf55b65bdbba6f6a5a626b854835d7844,Not a proxy,No delegatecall found,0,1
2667,0x0660f3fd94c95a9f77df3f1e7bb9150b25cc0132,Forward proxy,No assignments to local1 outside the fallback function,0,1
2679,0x6aa0f8620614afe9bd4aba3148439b08eb2557c0,Not a proxy,No delegatecall found,0,1
2685,0xbfb8db211bce25b05cf120e5a9a40b2f37727fff,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2692,0xfd5136afb7d8ea81023f69e1eebadaad35a49cbc,Not a proxy,No delegatecall found,0,1
2693,0x0177e992ed8561d31e856c38d2ff3a41d343030b,Forward proxy,No assignments to local1 outside the fallback function,0,1
2698,0x5772fd03181542a09971c2d7fbf7f9a63f44395c,Forward proxy,No assignments to local1 outside the fallback function,0,1
2702,0x90104927a2b800fabdac0e66d937ad9a2847bfb9,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2712,0x799fae7897c5bc2db817d25ad9f5357d9c353de4,Not a proxy,No delegatecall found,0,1
2724,0x657b689df020cc9c4dea4bab984ea23dc5bacbdb,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2741,0x25119803a25fc42f6af13eb86fc43a85fa6059f5,Forward proxy,No assignments to local1 outside the fallback function,0,1
2747,0xef004c5cdfaab19299b3ed66f14ec010fe5f20d0,Forward proxy,No assignments to USRImplementation outside the fallback function,0,1
2751,0x5498c8ab3c04de12aba7fe46da31e6336e40dc98,Forward proxy,No assignments to local1 outside the fallback function,0,1
2755,0x256fa9b43610156e3a787310545059357b64b793,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2779,0x1337def1670c54b2a70e590b5654c2b7ce1141a2,Forward proxy,No assignments to local1 outside the fallback function,0,1
2793,0x91df0ffc1b95113ba1f41ca0669fccaec0f55876,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2798,0x2de37af5ba64f5cae3202bf13dbedc4d46e8046f,Not a proxy,No delegatecall found,0,1
2819,0x957b28f93b0e01557e21e6c564ab26ddc2d18ec5,Forward proxy,No assignments to local1 outside the fallback function,0,1
2828,0xe64796fcc97c33a2193ba60f013f3fa5d4712d56,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2833,0x648dd6e46e796d1c18c469c1b849887580ccc74f,Forward proxy,No assignments to local1 outside the fallback function,0,1
2834,0x1337def1c79053da23921a3634adbd12f3b748a5,Forward proxy,No assignments to local1 outside the fallback function,0,1
2848,0xd85ac522a67666bdc625d91051bd7aa6a1d91ebe,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2849,0xc5d2b3f5daf11b6111af86a72a5938b0fe6c5045,Not a proxy,No delegatecall found,0,1
2851,0x404a995c4ba79ebaac76da27b3421e1a1efb12ae,Forward proxy,No assignments to local4 outside the fallback function,0,1
2877,0xa50142739c3d365b5348602e7d976def9369d5fc,Not a proxy,No delegatecall found,0,1
2883,0xf9c8ca1d737581446cf3b17582256142ab1464a8,Upgradeable proxy,Variable local6 assigned outside the fallback function,1,0
2888,0x8a2efd9a790199f4c94c6effe210fce0b4724f52,Not a proxy,No delegatecall found,0,1
2898,0xca2308a86ed57d18856c05be9f4ddf7454933ccc,Forward proxy,No assignments to local4 outside the fallback function,0,1
2911,0x5fb2859eea84bc8932e200b26d4a8280d233cf99,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2922,0x6d9cc14a1d36e6ff13fc6efa9e9326fcd12e7903,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2940,0x6511d8686eb43eac9d4852458435c1bec4d67bc6,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2950,0x6eca3176214536933908a703ec4a839c169832bb,Forward proxy,No assignments to local1 outside the fallback function,0,1
2953,0x66b86625ee80b06e94e027e44ea35680a0730233,Not a proxy,No delegatecall found,0,1
2960,0x18d6e366d854d73ca9c5a557ef79ccfaa732ab7b,Forward proxy,No assignments to var_2 outside the fallback function,0,1
2962,0x9b461df6fc38e1baec08c06eb9e916093af8d11c,Not a proxy,No delegatecall found,0,1
2970,0xa282d47d40bf1333b901d5d015e490f798ff5324,Not a proxy,No delegatecall found,0,1
2984,0xd1599e478cc818afa42a4839a6c665d9279c3e50,Not a proxy,No delegatecall found,0,1
2986,0xcd5da49c0e25a6a9ddd6adc828dcc3230eec31cb,Forward proxy,No assignments to var_1 outside the fallback function,0,1
2990,0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,Forward proxy,No assignments to local1 outside the fallback function,0,1
3001,0x672c58011eb2fc31a68c4207a2fc0bfa53dace09,Forward proxy,No assignments to local1 outside the fallback function,0,1
3020,0xe487f6e45d292bf8d9b883d007d93714f4bfe148,Unknown,Failed to decompile bytecode,0,1
3022,0xcf28bf20b662f746a4b487fa81de5a40ac0af49c,Upgradeable proxy,Variable libAddress assigned outside the fallback function,1,0
3027,0x2d13ee5f41a18a8091a4ae0c3d70838e9e599a03,Forward proxy,No assignments to local4 outside the fallback function,0,1
3030,0x6c9d4b938a119f91e7eeacd97cb4bed2b8f5d1af,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3077,0x33ce1d837b9d5cc24e1d06b586abd6548906e2f4,Unknown,Failed to decompile bytecode,0,1
3082,0x885dd179c76ee5949b9053f1958ba3a91e4cf592,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
3104,0x7fb425138f0fbfdcde2396cc456c7bddeae046de,Not a proxy,No delegatecall found,0,1
3117,0xe818704540b7ee03027e364096947fe703e6fa35,Forward proxy,No assignments to local1 outside the fallback function,0,1
3120,0x14a4123da9ad21b2215dc0ab6984ec1e89842c6d,Forward proxy,No assignments to local4 outside the fallback function,0,1
3173,0x0a55af91026c0b6a2f9c3cad053385a9e6fad5fd,Forward proxy,No assignments to local1 outside the fallback function,0,1
3181,0x73453ba0337ce0b215852d07843e557a0ef3df98,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3191,0x09b3698fee49d7ea43fc46da29d6bbb37f4090bf,Forward proxy,No assignments to local1 outside the fallback function,0,1
3199,0x5a3d077d05d1c7e146e0ccafdfc91aeeee79e32d,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3202,0xc28d31eacec212e2f0606f718bfe936a29b98d1c,Forward proxy,No assignments to local4 outside the fallback function,0,1
3211,0x630d98424efe0ea27fb1b3ab7741907dffeaad78,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3225,0x34fe0c8100dc8ec65e50ff195faa93297ebf4f19,Not a proxy,No delegatecall found,0,1
3234,0x3772f9716cf6d7a09ede3587738aa2af5577483a,Unknown,Failed to decompile bytecode,0,1
3243,0x10e138877df69ca44fdc68655f86c88cde142d7f,Forward proxy,No assignments to local2 outside the fallback function,0,1
3247,0xcbde11f6781ad278b32c89e585f78835f4807788,Forward proxy,No assignments to var_1 outside the fallback function,0,1
3253,0xfd95d7d52bfe8310931aaeb583bd479290cf3773,Forward proxy,No assignments to var_1 outside the fallback function,0,1
3257,0xe725d6ff29d0679c9cb6fa8972a1e8a7fb49610b,Not a proxy,No delegatecall found,0,1
3294,0x1357fd44379a1365d82cc4a34812f602e31169d0,Forward proxy,No assignments to local1 outside the fallback function,0,1
3296,0xed4a3adffa428ffd126aed8ba5b8b58bb12c11ca,Not a proxy,No delegatecall found,0,1
3310,0x556ea1fe7cb0964e7de8dfe6cde63f1e40908541,Forward proxy,No assignments to local4 outside the fallback function,0,1
3329,0x5a4ade4f3e934a0885f42884f7077261c3f4f66f,Unknown,Failed to decompile bytecode,0,1
3334,0xef8a2c1bc94e630463293f71bf5414d13e80f62d,Unknown,Failed to decompile bytecode,0,1
3355,0x1337def172152f2ff82d9545fd6f79fe38df15ce,Forward proxy,No assignments to local1 outside the fallback function,0,1
3371,0x929c232066398d1103993fc7bb70d1bd6b8e4709,Forward proxy,No assignments to local1 outside the fallback function,0,1
3373,0x55bcf7173c8840d5517424ed19b7bbf11cfb9f2b,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
3384,0x0af9087fe3e8e834f3339fe4bee87705e84fd488,Forward proxy,No assignments to var_1 outside the fallback function,0,1
3386,0x8462cecf31f0211397537d57352e25bb280ff31e,Not a proxy,No delegatecall found,0,1
3389,0x9cb7563941944db50fa620d2a68814e03749dc64,Forward proxy,No assignments to local1 outside the fallback function,0,1
3391,0x58feb435c8cdc4a330eb1d78e8463623b8d48be9,Forward proxy,No assignments to local1 outside the fallback function,0,1
3394,0xe0a0489d93aeb831a04e8b631ebd9827a4db4a58,Forward proxy,No assignments to local4 outside the fallback function,0,1
3405,0x0324dd195d0cd53f9f07bee6a48ee7a20bad738f,Forward proxy,No assignments to local1 outside the fallback function,0,1
3442,0xdf670d697f9a4dd3e80e402e4c007ba9d25fc226,Forward proxy,No assignments to dforceSplitImplementation outside the fallback function,0,1
3455,0xc1330acbbce97cb9695b7ee161c0f95b875a8b0f,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3457,0x4fee0fedc23217447b67e1ab91194e92f5ec9f04,Forward proxy,No assignments to local1 outside the fallback function,0,1
3471,0x034e9e82e49cf5d1c2307e06a27d1ccfa15ab275,Forward proxy,No assignments to local4 outside the fallback function,0,1
3474,0xe3e3bed21fc39d0915f66509ed0aac05db6d6454,Forward proxy,No assignments to address outside the fallback function,0,1
3486,0x641a26af6d96413e3793881764099ddb1d4b0ae5,Forward proxy,No assignments to local1 outside the fallback function,0,1
3488,0x6d50db7b4a6fad439f6c6809d70748d070d06720,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3497,0x6dfdfbfb4b180be4482f8b753fb33720c2831a9f,Not a proxy,No delegatecall found,0,1
3506,0x22a67ecd108f7a6fc52da9e2655ddfe88eccd9ca,Not a proxy,No delegatecall found,0,1
3507,0x407fc377e4db82094893029ffdf9a88744c0079f,Forward proxy,No assignments to local1 outside the fallback function,0,1
3508,0x2025d9a7d5bfce6d09f65db5998062d86d0db74a,Forward proxy,No assignments to local1 outside the fallback function,0,1
3521,0xe659fa84e0c687760245046ba63329d44320997c,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3526,0xef55040bf90cb8e9b52d493aaf11f00eea228f74,Forward proxy,No assignments to local1 outside the fallback function,0,1
3535,0x4a193b61fb5f4c20e3ca03ec9e71df074e29b246,Forward proxy,No assignments to var_1 outside the fallback function,0,1
3545,0x8e2e99b21207b541ce64ed6f6322dfc086da9b83,Forward proxy,No assignments to local1 outside the fallback function,0,1
3557,0xd5df2a8b6dcc3e4730703a9c1d65c4cf8d591337,Forward proxy,No assignments to var_2 outside the fallback function,0,1
3563,0xefd2f8a5f896d4f5cbc62fb6ac36f81ed4c15834,Forward proxy,No assignments to var_1 outside the fallback function,0,1
3568,0x93f86011574a8176d50a25603f8cc5601b2223bf,Upgradeable proxy,Variable local3 assigned outside the fallback function,1,0
3569,0x3d5b127eb5295ee3ae376d5c5870ade3226ca993,Forward proxy,No assignments to local4 outside the fallback function,0,1
3575,0xa8dcbe27f75a5cfda9e073c0205685d12888eb79,Forward proxy,No assignments to local4 outside the fallback function,0,1
3588,0xee0d3fccfa5ff28b5ec8df0dda6c343775135c98,Forward proxy,No assignments to var_1 outside the fallback function,0,1
3596,0x6afbaf5722d331023e38c02b4a3e3e3142dfe60f,Unknown,Failed to decompile bytecode,0,1
3598,0xa2cc669bbab6afae16ea162d528744f563d28614,Upgradeable proxy,Variable local25 assigned outside the fallback function,1,0
3602,0xf53b56b6fb98aaf514bcd28f6fa6fd20c24e5c22,Not a proxy,No delegatecall found,0,1
3611,0xeca8a5a73f4c9aa83bb3b8c47f62764dc86aab38,Forward proxy,No assignments to local1 outside the fallback function,0,1
