,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
4196,0x07ec35051431289a08648eacf33bd849bc44c0b9,Not a proxy,No delegatecall found,0,1
4215,0xffc91f7088bf40f0419b451fb9d85718d8903628,Not a proxy,No delegatecall found,0,1
4224,0x8c1ebf73bec00d79e83b688db2a9fc34c7e748f7,Not a proxy,No delegatecall found,0,1
4242,0x109917f7c3b6174096f9e1744e41ac073b3e1f72,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
4247,0x47b28f365bf4cb38db4b6356864bde7bc4b35129,Forward proxy,No assignments to local1 outside the fallback function,0,1
4256,0x047fc84504714d526808be07bf17bdd70726ef92,Not a proxy,No delegatecall found,0,1
4271,0xdd310153e713e2ba332ec5407361e7f846d4127b,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4300,0xa36ac1f924087b7b959592c3d89cb066d1cc35d5,Not a proxy,No delegatecall found,0,1
4311,0xfc97c0c12438b6e4cf246cd831b02fef4950dcad,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4312,0x04cfbc89f161ee33f4984490b1b73a2d1548fa3d,Not a proxy,No delegatecall found,0,1
4317,0x0073e5e52e2b4fe218d75d994ee2b3c82f9c87ea,Forward proxy,No assignments to local1 outside the fallback function,0,1
4321,0xfceaaaeb8d564a9d0e71ef36f027b9d162bc334e,Forward proxy,No assignments to local1 outside the fallback function,0,1
4328,0x7469966be391e8fe5e85ab972819560c7c3d6e4c,Forward proxy,No assignments to local4 outside the fallback function,0,1
4337,0x3bd30d48cc4bb700edbb7cfe62fd05e91190a2e0,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4346,0xd52d09ce4c0118b227bd9496d973ed0bf98f8d5a,Not a proxy,No delegatecall found,0,1
4363,0x87ea2450eab99a74e55e2b446290011765393ac1,Not a proxy,No delegatecall found,0,1
4389,0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,Forward proxy,No assignments to var_1 outside the fallback function,0,1
4394,0x02285acaafeb533e03a7306c55ec031297df9224,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
4397,0xbdc6b0a1bd003eb9b6c72f5103e96466faa16739,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4400,0x05d70721c4f75473a07907c0d0c6eebed5f2fef7,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4401,0x15a0c1dd584acda21483443a3031e7774cafce68,Forward proxy,No assignments to local1 outside the fallback function,0,1
4409,0x7058ee5467edef417746aab0b8cabbbe36ef1798,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4414,0xd95e7f80766580634b2e0e49d9f66af317994fc7,Not a proxy,No delegatecall found,0,1
4427,0x346b31b2720faa1089e5a002ce5383bb7425511f,Forward proxy,No assignments to local1 outside the fallback function,0,1
4432,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,Forward proxy,No assignments to var_2 outside the fallback function,0,1
4436,0xd7adf1b5e31d1c40e08f16a2095338ce3aa8f2fc,Not a proxy,No delegatecall found,0,1
