Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFYT),Upgradeability (USC HUNT)
0xb9fb8a22908c570c09a4dbf5f89b87f9d91fbf4a,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x7301CFA0e1756B71869E93d4e4Dca5c7d0eb0AA6,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x67905d283b5214fe49319a5c305e67c7d9e86d36,Not a proxy,No delegatecall found,n,y
0x719d8b63601bbd50cb0394f39c1079641e61b7d1,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1b71b5820c871ffc6733bb7859866df05827dc94,Not a proxy,No delegatecall found,n,y
0xedf06b25e92f645e1bee98ffc72781f11ed523f8,Not a proxy,No delegatecall found,n,y
0x6F8266ed462Bf7d8C226566275467A2A49B40471,Forward proxy,No assignments to local11 outside the fallback function,n,y
0x6F8266ed462Bf7d8C226566275467A2A49B40471,Forward proxy,No assignments to local11 outside the fallback function,n,y
0x72bea880b07b3c814c1753a1d1c3bdefe23af3dd,Not a proxy,No delegatecall found,n,y
0x57ff2cbf0d1dfd79b497795b2edd3b56f1a30397,Not a proxy,No delegatecall found,n,y
0xc786097d69299835f3479a1fcd5a1C5638faCaDE,Forward proxy,No assignments to local8 outside the fallback function,n,y
0xd3d5A88461bD20494ECdF6b57d0FD4b20DA6b3bb,Not a proxy,No delegatecall found,n,y
0x89d0a07b792754460faa49e57437b40aa33fb757,Forward proxy,No assignments to local14 outside the fallback function,n,y
0xa02f5f130f8112ee1a91ea43026c7895c2a5bb8f,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x6595618c9a67791226b1bb45e567d66a7a1168b5,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xc34a8AfBbC912feB57881CD033825E9a199CF6Bf,Not a proxy,No delegatecall found,n,y
0x8676cb811b9148bb1171747221d9cf36c8e1c1f2,Forward proxy,No assignments to masterCopy outside the fallback function,n,y
0x4aa5f09d3f322371ce073425cf22ae098cef6e13,Not a proxy,No delegatecall found,n,y
0x9E4CB07dfD2a121A53BeE4F994d0907b1f39B03A,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x9792ee4c36a622a8cf9566b037c57519a9fe8a56,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x2b6eaf43499b3db50df84b22c9451fe04599317c,Not a proxy,No delegatecall found,n,y
0xef49Ea6996073752b6840CDA34773FFA78F78166,Not a proxy,No delegatecall found,n,y
0x4d6cfdad8a73745612f5dd85125f06090e87b68c,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xa64cf4fc6003f34de14e19abdde85830a3266ee6,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x2f5fa2759d7a428435530dc497d01621e1aee9f6,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x14b52f6bb94fdaf97788533764ec4d6432f20bec,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xa03ba2d6dd3c4e5cd558f8ed90f4fe1bd5afe7ac,Not a proxy,No delegatecall found,n,y
0xaeeac2e7a0e2b927b74e9080acadb936437088dd,Forward proxy,No assignments to local3 outside the fallback function,n,y
0xEeFa8Ca24dd1D573882277b917720953e999734D,Not a proxy,No delegatecall found,n,y
0xEeFa8Ca24dd1D573882277b917720953e999734D,Not a proxy,No delegatecall found,n,y
0x410e731c2970dce3add351064acf5ce9e33fdbf0,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x266bfdb2124a68beb6769dc887bd655f78778923,Forward proxy,No assignments to local14 outside the fallback function,n,y
0x367b2c045E15c3E653b55E08f18c1Ee851A46207,Not a proxy,No delegatecall found,n,y
0xfa82f0a05b732deaf9ae17a945c65921c28b16dd,Not a proxy,No delegatecall found,n,y
0xd70cf0dd84a2f9a6b8503369e454d49fe78e3084,Not a proxy,No delegatecall found,n,y
0xef40f8b376daa24c48e77bca11ebb1d4a4f07fca,Not a proxy,No delegatecall found,n,y
0x25200235ca7113c2541e70de737c41f5e9acd1f6,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xd13689e8DA0Ed95b55100E27B7DBc95c03b5259B,Unknown,Failed to decompile bytecode,n,y
0x7a9f4a92781fb24de8fd162460d443d9c4b8c7c2,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x3047303f8b5948ae70d2e5a993562e6fbbccb91d,Not a proxy,No delegatecall found,n,y
0xfffb285a7252410ba60b85732ce5492c0f30686c,Not a proxy,No delegatecall found,n,y
0xBfE13cB6e2731e4740424804e86E5D8251E4CaE5,Not a proxy,No delegatecall found,n,y
0xd01D9bc57E450923B414561B355f54139CeF705d,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xf2262f092063cd19050f7e037cbf6401b58e9035,Not a proxy,No delegatecall found,n,y
0x8194a6b2be830483b3528ac315946be81b6cfbdb,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x4c7e5fed8751809f43e5e0108978bdb5b37e0945,Not a proxy,No delegatecall found,n,y
0x5F705b4f5bcbD3A3536B20420cC581cbBE280bFF,Unknown,Failed to decompile bytecode,n,y
0x5F705b4f5bcbD3A3536B20420cC581cbBE280bFF,Unknown,Failed to decompile bytecode,n,y
0xff5f5404e183c486ffe11217f8054456ad6f9be7,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xb08fe5debb2838d9f4a91132c3a87678007da9a3,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x3f204a06ab6a6b6bb437b58ae39b56b906927d95,Not a proxy,No delegatecall found,n,y
0x8ccbe832cf62077662abee27a9f142417f1f85b4,Not a proxy,No delegatecall found,n,y
0x6c3fa918a9df293330dabb3d7ee3e5e7eeb2626f,Not a proxy,No delegatecall found,n,y
0xa9ce26a7f2a206d165c0aff83bbcdf81fd4b489e,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x75bd567130347e150325d370ad886f603ab582a6,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x318d27825678733f381bc7e17ebe82872bad6ff6,Forward proxy,No assignments to local2 outside the fallback function,n,y
0xe24bef4101317acb870c3ef3d4a1e739fdcf6232,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x02827D495B2bBe37e1C021eB91BCdCc92cD3b604,Not a proxy,No delegatecall found,n,y
0x495d3a0530367ed4331833eae74b32d4848401f0,Not a proxy,No delegatecall found,n,y
0x0347AE755BeE12D66a653E3e37B7D0aE4105058A,Not a proxy,No delegatecall found,n,y
0x7f899e0cf9bc5f4d8bb3ca9df30d901dd000f16d,Not a proxy,No delegatecall found,n,y
0x4daa3c4c0a253c1e6c6fcb0705e5c64d21cf9c59,Not a proxy,No delegatecall found,n,y
0x68a64df7458a8eb2677991e657508fe00205332d,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x269616d549d7e8eaa82dfb17028d0b212d11232a,Forward proxy,No assignments to local11 outside the fallback function,n,y
0x9e1701c12D7F79aFfb9C099710d40ECCa68Fe9B8,Not a proxy,No delegatecall found,n,y
0x6f924248562a559d3f5e7bd7ba0791005e539257,Not a proxy,No delegatecall found,n,y
0xdB36B8f25bB1f289d97aeE8f87BAcCaC58fA8883,Not a proxy,No delegatecall found,n,y
0x306496f5af58b04fc93985059c894ec549e2f6b8,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xdb9217fad3c1463093fc2801dd0a22c930850a61,Not a proxy,No delegatecall found,n,y
0x351caa9045d65107b9d311d922d15887cfd634e4,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xaf6419a2c9997d7e6fed001695822d5c1101b08d,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x1BD223e638aEb3A943b8F617335E04f3e6B6fFfa,Not a proxy,No delegatecall found,n,y
0x1BD223e638aEb3A943b8F617335E04f3e6B6fFfa,Not a proxy,No delegatecall found,n,y
0xeaee3a142ac4e0494bfb60d493b804ca9a739339,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xbedbf2d05237af8595039760d14fec731c78ac62,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xb10b3af646afadd9c62d663dd5d226b15c25cdfa,Not a proxy,No delegatecall found,n,y
0x0f4c00139602ab502bc7c1c0e71d6cb72a9fb0e7,Forward proxy,No valid implementation variable found,n,y
0x97c548ac36d5a218bef504b5d5389b724355c5af,Not a proxy,No delegatecall found,n,y
0xe892c56c86e3ae682b0aa644cbe87f2aca3bd907,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x75f36ea36d3f37d3bafe3bdb52a2de4fda7806de,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x6e0f736a2a0b81E7D8B7D6Ac3608aC977341bA4F,Not a proxy,No delegatecall found,n,y
0x0baecbb404828f5ef2169d480d70c40bdd3d1449,Not a proxy,No delegatecall found,n,y
0x4a5693fa90442aff3067b59a4256834fe612b541,Not a proxy,No delegatecall found,n,y
0x247b6b13ad67d9c795a25c1d9a6c3857166e4b1a,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x7244b023160281AdDCc69C3DB0E589C695fACade,Forward proxy,No assignments to local8 outside the fallback function,n,y
0x0c8dbfb40a324674ad26fe7aeccd4c654036aa82,Not a proxy,No delegatecall found,n,y
0x6ee76882400f67584b1610276bc7ee28940112f3,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xb6fe88db55a92bbb8e50bc33144348c20ba5a6dd,Not a proxy,No delegatecall found,n,y
0xc9f24fdcb53b5aaec60da153c4c83f18f42da031,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x0acf809f5329835335931fa9631f8b7861d3d65c,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xddc47b0ca071682e8dc373391aca18da0fe28699,Unknown,Failed to decompile bytecode,n,y
0xE806Db0693788Ec79D6c45a8934E0EAF94AFA37E,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x1c17f00f787b11689c35a74cc043614ca218ff9b,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x4082413a6d824ddfb02ac2436041d2a210ea75f7,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x1b72255a11df705bb598e670830e03a19f2d242f,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x7af66d707d8477ed9f246d29021112f9b588fcf6,Not a proxy,No delegatecall found,n,y
0xbf0e27fdf5ef7519a9540df401cce0a7a4cd75bc,Not a proxy,No delegatecall found,n,y
0x08b641f9a2b8a7ad9b7fbbd1f178112aad3c571d,Not a proxy,No delegatecall found,n,y
0x1e436bc9209ad6f165d6436953486aaf00286621,Not a proxy,No delegatecall found,n,y
0xd1f408F3f82D6B8C8Ddb6C1683A0E0d3f3274DE5,Forward proxy,No assignments to local12 outside the fallback function,n,y
0x45de01211c412bddb9952831890bd9b68da6b136,Not a proxy,No delegatecall found,n,y
0x9cb1eeccd165090a4a091209e8c3a353954b1f0f,Not a proxy,No delegatecall found,n,y
0x0a62cc5ebfa79b155b4ec90e74c00e0176692772,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xe293Bf6BcF1A72768dA0209F437491046359b9f2,Unknown,Failed to decompile bytecode,n,y
0x007d7f360ae0ec72115d3149852e25aea7f7500e,Forward proxy,No assignments to var_2 outside the fallback function,n,y
