Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFYT),Upgradeability (USC HUNT)
0xd6De5b5e7f60679D85ea58B783d85BC8595e64A4,Not a proxy,No delegatecall found,n,y
0x51addb8f258b8402fb83064bae5301e05e67b0a1,Forward proxy,No assignments to local4 outside the fallback function,n,y
0xC44aF2A8e1150a0d6A69F9a3678582ad81C021E0,Not a proxy,No delegatecall found,n,y
0xce41fc6412CC87b1b53B7A7D8beD2C8F8bb33c9A,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xfcdedc0397603346788b2567fb5e6d9fd2aedf4c,Forward proxy,No assignments to local15 outside the fallback function,n,y
0xc4FA447A0e77Eff9717b09C057B40570813bb642,Not a proxy,No delegatecall found,n,y
0x37699b0368337c5ea58498446e45d4b45dedd956,Not a proxy,No delegatecall found,n,y
0x1757f3F01Fbf888c9e7c0b407654D014BE4aB0AB,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xd42e3efdd5714fdddf93c48e992314d09b91d298,Forward proxy,No assignments to local3 outside the fallback function,n,y
0x31d85ef94360a46af2e59c700789ef952cb6eade,Not a proxy,No delegatecall found,n,y
0x0feccb11c5b61b3922c511d0f002c0b72d770dce,Forward proxy,No assignments to var_1 outside the fallback function,n,y
0x23e97a06f452120e2B1bF2a6713bb3833d7AfDCf,Forward proxy,No assignments to local14 outside the fallback function,n,y
0x7a21270190Dcb9f9D7f9802f5b0C4cA5e83a974c,Not a proxy,No delegatecall found,n,y
0x3cd76b8c1dbaf47051ccb793772ac5f096108869,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x933bcc3b0d1eea2a485424ec6573b29742cddf72,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x166df39721b2fd26d4907f91df74f6ae064a38ae,Not a proxy,No delegatecall found,n,y
0xa0cef694c7d1cc1958638e579439ec64cd15ce15,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x4b04b829d4e6803ff7ad7c87ea3a0e453d379da7,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1A562822F99d11E8F993f6BCdA86277123CE22B4,Not a proxy,No delegatecall found,n,y
0x1A562822F99d11E8F993f6BCdA86277123CE22B4,Not a proxy,No delegatecall found,n,y
0x78F32e50c5771B32eBa7EF227a9E06C4dAf922aE,Not a proxy,No delegatecall found,n,y
0xd5df2a8b6dcc3e4730703a9c1d65c4cf8d591337,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x6afbaf5722d331023e38c02b4a3e3e3142dfe60f,Unknown,Failed to decompile bytecode,n,y
0xD395E7D8eF2857252cB6E8D108B05f802D041DF2,Unknown,Failed to decompile bytecode,n,y
0x1e4f16c92026b96d5bb42045993657d8b39253e9,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xe4564de79f316b5556eaf1bdae221f3770cc3716,Forward proxy,No assignments to local14 outside the fallback function,n,y
0xa0965fb78d355b8695149af688466f55c40e684d,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x0c212728e3cdb57ed62ddfca917fe7df17a63979,Not a proxy,No delegatecall found,n,y
0x2a9bdcff37ab68b95a53435adfd8892e86084f93,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x9469f2cf03148ab166cb31473ed400fa5323482f,Not a proxy,No delegatecall found,n,y
0xe964a36142bbe39751d0b4d6140fc0b8c48e68be,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x4A1955D950FB7a73e23811AD351eCAAb6a413618,Not a proxy,No delegatecall found,n,y
0x4A1955D950FB7a73e23811AD351eCAAb6a413618,Not a proxy,No delegatecall found,n,y
0xeEa5906291BeD7E9d7eF19c58a6ac6B41dD4B5fD,Not a proxy,No delegatecall found,n,y
0xf258391e3daa6c80ec11e9808c9775574137dbd9,Forward proxy,No assignments to var_1 outside the fallback function,n,y
0x4671740ff9744fc197df8c3fe32ea9b18b207982,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x89D321fc71ABCd71045E7686C450d06E26CC1DC8,Not a proxy,No delegatecall found,n,y
0x92812526ebc2f4df9e0b77db74da0803b8f023fa,Not a proxy,No delegatecall found,n,y
0x13104a598095b0446d535486a15b9b8c9df0d8c4,Forward proxy,No assignments to local4 outside the fallback function,n,y
0xd778798ed4b34031dc670e730291c221a3eb07f1,Not a proxy,No delegatecall found,n,y
0x50e9748639a2dee9ec7454222ff38150a5290a9b,Not a proxy,No delegatecall found,n,y
0x85e9fc8273b1ee9d81f4b800071563096f689863,Not a proxy,No delegatecall found,n,y
0x896d335daf43b01931bcacaa4cb24fc5e095cea2,Not a proxy,No delegatecall found,n,y
0x6b74e5c4137AfD6a7Dbd9d43c9d7af2A258e57A7,Not a proxy,No delegatecall found,n,y
0xd714d91a169127e11d8fab3665d72e8b7ef9dbe2,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x5593143eAE5000983bB015b2E0AC35C125B3376C,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xd9d0f8f727c4607d89ab897656aaa921054ad1e3,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x64aee7c9a23d6e4f4dd033205c23833e62a83b0e,Not a proxy,No delegatecall found,n,y
0x7c175a3fd4d2f14e40ac418a1e004dfc8edd3ba8,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x6da7d857cEEcedf2c31716997795F2AD0db43019,Not a proxy,No delegatecall found,n,y
0x3aa4a0482e6f475856d98c12e71b658d0c1d0b68,Not a proxy,No delegatecall found,n,y
0x6BE937Ee9ce904912F85095dA95440373c7F8346,Not a proxy,No delegatecall found,n,y
0x6BE937Ee9ce904912F85095dA95440373c7F8346,Not a proxy,No delegatecall found,n,y
0x5961E2027a46F97006387cad05cD38ef0CD47588,Not a proxy,No delegatecall found,n,y
0x30634241d3a7fbcea55f0ba7df42dfd8cdd8b2cd,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xe80586ed45f1692727db7bc7b11cc7659874aee9,Not a proxy,No delegatecall found,n,y
0x1d9bdf492e59a306dda59e5aa13e7f1c7d89197a,Not a proxy,No delegatecall found,n,y
0x4e44fe174e934ff78a77bee3c2b752fd1beefdef,Forward proxy,No assignments to var_1 outside the fallback function,n,y
0x707219980471237fea93983f872a6d496e2083b5,Not a proxy,No delegatecall found,n,y
0xd989a04ad891528b571ef73dacaefeb0402a65b3,Unknown,Failed to decompile bytecode,n,y
0x57d5ABD74d813a9838D4D8bA7246E983Ca1b5B6b,Not a proxy,No delegatecall found,n,y
0x7fc3ec3574d408f3b59cd88709bacb42575ebf2b,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x48b37920968500cf515c1bf6a5e83c7887712bf3,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xfe48bfff0eaedcb3724c8c0e8bda26e267f0a651,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x65475e604cF3016a738F8Aac71CEA18b0C2021b4,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xe3412D2751F6cFA117A4c5Eb71e84aa63a5Ee5Ff,Forward proxy,No assignments to dTokenImplementation outside the fallback function,n,y
0x8e9748c70ce9155147e25f28226d3e803c5a7ef2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xc07a4c1908dd0f02dab972d17841543092e47613,Not a proxy,No delegatecall found,n,y
0xb733Eb1fd233956CC689a6c082D4D0a47e3975E1,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xBdC6B0a1bd003eB9B6C72f5103e96466fAA16739,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x4599f2913a3db4e73aa77a304ccc21516dd7270d,Not a proxy,No delegatecall found,n,y
0x7058ee5467edef417746aab0b8cabbbe36ef1798,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x13773093Cdad89e8e1615f581a37c7eeaBb04804,Not a proxy,No delegatecall found,n,y
0x03f34be1bf910116595db1b11e9d1b2ca5d59659,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x2dbc4622fde0dc5d1d1c6fc908678cddba81c189,Forward proxy,No assignments to local14 outside the fallback function,n,y
0x5ebbe396d852d4aba7412901d4add7c878f67f3a,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0xD8Ee69652E4e4838f2531732a46d1f7F584F0b7f,Upgradeable proxy,Variable local2 assigned outside the fallback function,y,n
0x42738527332252a56d6968767ed7df0d1aefecc4,Upgradeable proxy,Variable local3 assigned outside the fallback function,y,n
0x66bfd3ed6618d9c62dcf1ef706d9aacd5fdbccd6,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x50e1a50e244aeD8Cf3e76a063BbE8a5C6F69Ea83,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x5db4364cc0959c224f7898d8188413c1f560cf48,Upgradeable proxy,Variable msg.sender assigned outside the fallback function,y,n
0x0689aa2234d06Ac0d04cdac874331d287aFA4B43,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,n
0x8aC850B0D2251643218cB6608ef9Ba91417d0676,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,n
0x74a9ec513bc45bd04769fdf7a502e9c2a39e2d0e,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x5f6d994e6ba25a0a23efae15e46a6e79527bdf3f,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x8f9749054390B96cCA7B5a41C7215cB6745dAAee,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,n
0x97d7c6de394631c47760c234f4bcf564889b8721,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x3a6a6c89be2db6e8e938156cb42c41551a53bec5,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,n
0xe87e15b9c7d989474cb6d8c56b3db4efad5b21e8,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x7097cc5a9c62f0d68c0863ffe4966b1ea88f526c,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0xbde8e7f63dfac347b4ac4826ad11749065690039,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x6e1A19F235bE7ED8E3369eF73b196C07257494DE,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x6e1A19F235bE7ED8E3369eF73b196C07257494DE,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x7e65b937d576a56b34ddb8aa0c6534f198c36940,Upgradeable proxy,Variable local3 assigned outside the fallback function,y,n
