Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0x6256341663a45123b22592c811dfd9770f41214c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x998ffe1e43facffb941dc337dd0468d52ba5b48a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2e3daacf773fd11a981933dbf729093233203bd5,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xfd6c76546d93e6120eb6eaa266966f51330280c3,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x123f2b75b9a7a9da8dc483976bfd81eff9f0ea8d,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x0a62cc5ebfa79b155b4ec90e74c00e0176692772,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0xe6cad13edeaf421b13cee97298c4b0d0902a30c2,Upgradeable proxy,Implementation address can be modified,1,1
0xa901e48db5a856da5f27e74a936259808d4c83af,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xf27a5f67c52f14b3df403aa8cb5bae59a3f726ed,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbcbb9c7aff226109e468f03929c71de716482c29,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x59aabbc33311fd0961f17e684584c0a090034d5f,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x641c961e9dd56f5a51a0010d2559b2ec3b4869cc,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
