Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFY),Upgradeability (USC HUNT)
0x2d60ac9eac20a5be66fd62676232d9a7c96bb1dc,Forward proxy,No valid implementation variable found,n,n
0xF9da2dE9E04561f69AB770a846eE7DDCfc2c53F6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xbe1A3b1857bCc9ACaE6b405Cf293f2229ef9EA5B,Upgradeable proxy,Implementation Address can be modified,y,y
0x578a26ed597f89a05e0e163607f42c51c5015945,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x50040b95e06e030e90b67fe158e6c2c085acd867,Not a proxy,No delegatecall found,n,y
0xf1AFA2f0abae3Da08E5d181ea2E5D7481ce3b481,Not a proxy,No delegatecall found,n,y
0x5d24cf40ead0601893c212ff3af4895dc42a760b,Not a proxy,No delegatecall found,n,y
0x45341d48d32645d4d5c22f96cb178cf4ecde0a4e,Not a proxy,No delegatecall found,n,n
0xf479c029ed8af4a6a23248ac826812cf7cbd4d2c,Upgradeable proxy,Variable local2 assigned outside the fallback function,y,y
0x3bfc20f0b9afcace800d73d2191166ff16540258,Forward proxy,No valid implementation variable found,n,n
0x19c00323caFc23c4D72c1A25f0f78E769deAEEf7,Not a proxy,No delegatecall found,n,y
0x0a4f4e92c3334821ebb523324d09e321a6b0d8ec,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xf7d5060c181f9ed59f619b2c945a2f7c3ee9cce2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x75228dce4d82566d93068a8d5d49435216551599,Not a proxy,No delegatecall found,n,n
0x7583a7a3852f742bBC66855F3502f1c512a0aD6E,Not a proxy,No delegatecall found,n,y
0xBAac2B4491727D78D2b78815144570b9f2Fe8899,Forward proxy,No valid implementation variable found,n,n
0x39283682b121cdfa38485933b676da6ba893d6b7,Upgradeable proxy,Variable local2 assigned outside the fallback function,y,y
0xb3e0edda8c2aeabfdece18ad7ac1ea86eb7d583b,Not a proxy,No delegatecall found,n,y
0xa6f8B3cE684e37144745DacCB3Ef3596e8eE745a,Upgradeable proxy,Implementation Address can be modified,y,y
0xde97e5a2fae859ac24f70d1f251b82d6a9b77296,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xa746c67eb7915fa832a4c2076d403d4b68085431,Forward proxy,No valid implementation variable found,n,n
0x2ab85aa4ac637a770b2fc8daceeb3a6338125f10,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xea7Cc765eBC94C4805e3BFf28D7E4aE48D06468A,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x1b0c489db625bf96aef17cedbce513bce4ce39ec,Not a proxy,No delegatecall found,n,n
0xba5eBAf3fc1Fcca67147050Bf80462393814E54B,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xa8305b9cfd9590d328e1ac5b13bdd647daec5652,Not a proxy,No delegatecall found,n,y
0x109533f9e10d4aeef6d74f1e2d59a9ed11266f27,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x3e0c8881ccb875b5257d800be6ed33e06f500773,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xdc524e3c6910257744c1f93cf15e9f472b5bd236,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x3c294fCF74129d649325F8995afC2f9CfaFAB9dA,Upgradeable proxy,Implementation Address can be modified,y,y
0x2697c365839e919c210fa06c9aa1b7d9750aed91,Forward proxy,No assignments to local7 outside the fallback function,n,n
0x1ff93b2d47d974644bddc62bf66940ebf18703e8,Forward proxy,No assignments to address outside the fallback function,n,n
0x1c1fd689103bbfd701b3b7d41a3807f12814033d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xc5cacb708425961594b63ec171f4df27a9c0d8c9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
